user_id,item_id
1,1
1,7873
1,4585
2,9716
2,11651
2,11194
2,816
2,1
3,5252
3,243
3,7977
3,4211
3,6050
3,6609
3,5863
4,5161
4,7849
4,5522
4,11140
5,11390
5,11444
5,4758
5,10064
5,9403
5,10470
5,6500
6,5662
6,6431
6,8819
6,8816
6,4595
6,5664
6,7595
6,6906
6,411
6,9917
6,9597
6,5133
6,9562
6,10623
7,8778
7,8499
7,5987
7,10038
7,1
8,4554
8,1
8,6928
9,3974
9,373
9,10357
9,4352
9,5488
9,3788
9,3258
9,9557
9,247
9,4488
9,5920
9,9383
9,3362
9,3894
9,11288
9,7454
9,2722
9,11243
9,6236
10,2028
10,11498
10,2171
10,6382
10,2228
10,9120
10,5803
10,2
11,1190
11,2
11,7753
11,7941
11,11034
12,4211
12,9046
12,2
12,7591
12,10362
12,6325
12,3275
13,6322
13,5528
13,7437
13,10874
14,8327
14,2937
14,10256
14,2
14,11119
14,8517
14,138
15,1305
15,11518
15,11256
15,2
15,11788
16,6276
16,9654
16,2
17,8958
17,6534
17,2421
18,3233
18,2
18,5605
18,1184
19,10371
19,5165
19,2
19,5244
19,9673
19,10781
19,10207
20,1053
20,9272
20,8966
20,5040
20,7172
20,9165
20,4258
20,7448
20,3
20,8104
20,390
20,5404
20,6906
20,2835
20,6778
20,3228
20,1697
20,6231
20,7462
20,2998
20,1962
20,2746
20,7840
20,6067
20,2400
20,3208
20,2506
20,771
20,575
21,2837
21,6527
21,6869
21,3
21,7830
21,3538
22,1354
22,5379
22,9600
22,8543
22,298
22,6540
22,3
22,71
22,6158
23,1971
23,2060
23,4064
23,2992
23,2544
23,891
23,5259
23,5318
24,9673
24,7363
24,6304
24,10068
24,8661
24,7907
24,8789
25,7725
25,574
25,2797
25,4723
25,1165
25,10040
25,8566
25,910
25,365
25,800
25,4
25,2491
25,6633
25,5075
25,2632
25,10784
26,4
26,6649
26,5688
26,2544
26,1977
26,3537
26,1596
27,10750
27,8969
27,8124
27,4544
27,10933
27,10034
27,5493
27,9369
27,7977
27,11446
27,9562
27,8816
27,6309
27,2440
27,11170
27,7336
27,8824
27,10338
27,10979
27,9504
27,3539
27,10594
27,7266
27,448
27,4628
27,1596
27,5997
27,11575
27,11004
27,9781
27,10802
27,8127
27,2545
27,9839
27,4424
27,6622
27,1511
27,7759
27,3535
27,2622
27,7849
27,10218
27,9759
27,5254
27,9403
27,7532
27,5903
27,8742
27,6096
27,4
27,8600
27,10632
27,777
27,6689
27,8590
27,10450
27,9120
27,5972
27,8136
27,8440
27,9992
27,6599
27,7164
27,8150
27,4465
27,6937
27,7815
28,1423
28,6285
28,1477
28,4588
28,11891
28,4
28,1015
29,11828
29,10769
29,8132
29,8802
29,11896
29,2003
29,4
29,9045
29,12003
29,8087
29,11572
29,5325
29,7469
30,1854
30,3756
30,4460
30,4
30,1712
30,921
30,414
31,5
31,759
31,1251
32,8561
32,6435
32,11734
32,1977
32,10568
32,5448
32,3387
32,11712
32,10669
32,2841
32,420
32,4505
32,366
32,417
32,11853
32,10896
32,1166
32,10711
32,3100
32,2506
32,8558
32,11879
32,2314
32,10560
32,9583
32,11774
32,11710
32,10561
32,2835
32,11768
32,11805
32,1902
32,8977
32,6456
32,3836
32,11732
32,11775
32,7944
32,8976
32,11772
32,388
32,5882
32,1758
32,9589
32,11878
32,5580
32,9588
32,918
32,1053
32,10562
32,1592
32,11807
32,10689
32,10566
32,11767
32,2452
32,10897
32,409
32,1076
32,11773
32,9939
32,2414
32,1433
32,4403
32,1545
33,5113
33,1755
33,2668
33,5
33,3373
33,3314
33,1189
33,9672
34,1086
34,2171
34,55
34,1355
34,1974
34,2413
34,791
34,1433
34,2452
35,10381
35,5117
35,11474
35,6037
35,5416
35,265
35,6670
35,7419
35,3272
35,10136
36,7037
36,3169
36,5583
36,1553
36,6613
36,7092
36,10323
36,5935
36,3992
36,4667
36,6693
36,6169
37,8090
37,6
37,5273
37,1247
37,999
38,8159
38,6009
38,2652
38,6
39,4993
39,464
39,6825
39,205
40,7033
40,3580
40,9081
40,9716
40,3579
40,6
40,3275
40,8816
40,8249
40,5196
41,8042
41,6352
41,6
42,6
42,921
42,3498
42,6589
42,3540
42,6547
42,2329
42,4367
43,2758
43,6
43,3788
43,628
43,1636
43,1138
43,2319
43,6501
44,9957
44,39
44,426
44,5308
44,9329
44,1254
44,6581
44,10245
44,7057
44,4675
44,2785
44,6192
44,1813
44,6
44,3056
44,6283
44,231
44,4800
44,2262
44,10435
44,5053
44,7590
44,8167
44,3011
44,404
44,8478
44,7633
44,5822
44,7281
