user_id,item_id
1,7753
1,2296
1,11472
1,10158
2,2296
2,4834
2,1
2,2297
3,5574
3,1664
3,1
3,7233
3,3030
3,3372
3,2296
4,1074
4,11050
4,4012
4,1
5,3652
5,6906
5,2615
5,281
5,6962
5,1919
5,7235
5,6552
5,1
6,3372
6,2532
6,1993
6,7387
6,6731
6,3075
6,2297
6,1974
6,9355
6,481
6,1
7,488
7,7893
7,487
7,2320
7,9442
8,7249
8,1626
8,9898
8,3979
8,1
8,2994
9,1
9,1788
9,2297
9,3372
10,4264
10,1797
10,543
10,1
10,1815
11,382
11,9882
11,3746
11,4721
12,2766
12,5821
12,11232
12,8381
12,5323
12,7173
12,7154
12,7717
12,7170
12,173
12,11228
12,5020
12,9355
13,7388
13,2461
13,2296
13,693
13,1
13,1737
13,1919
14,1932
14,3693
14,6031
14,6010
14,3652
14,7922
14,3372
14,4364
14,1838
14,10386
15,1280
15,2460
15,6068
15,2615
15,542
15,3045
15,8908
15,8310
15,6048
15,7720
15,3952
15,5676
15,356
15,3196
15,3129
15,2037
15,1609
15,3443
15,8632
15,8716
15,710
15,9204
15,4943
15,4025
15,1799
15,3980
15,6688
15,6644
15,2894
15,331
15,2994
15,4002
15,4648
15,2127
15,5677
15,9202
16,3763
16,2105
16,53
16,2541
16,1247
16,1294
16,2296
16,1213
17,2297
17,568
17,4118
17,1
18,10528
18,7834
18,11664
18,2
19,10253
19,2
19,4275
19,10741
20,2
20,10314
20,8799
20,11066
20,9542
20,11208
20,917
20,8507
20,11057
20,10
20,11053
20,11068
20,10387
21,54
21,8486
21,7273
21,994
21,2380
21,11185
21,4051
21,10855
21,11056
21,11080
21,3074
21,1961
21,3093
21,10399
21,4547
21,1136
21,4394
21,1103
21,7212
21,180
21,306
21,2486
21,6288
21,7375
21,3658
21,2006
21,2864
21,7376
21,5263
21,2
21,9968
21,1962
21,11079
21,4551
21,3299
21,3855
21,1345
21,2804
21,3793
21,10562
21,2422
21,11244
21,11246
21,1203
21,5674
21,11540
21,1644
21,3347
21,732
21,3468
21,7276
21,11245
22,2497
22,6471
22,9770
22,2
23,11312
23,6399
23,2
23,6843
23,6899
23,6963
23,4336
23,11646
23,11038
23,11027
23,8347
23,11645
23,2298
24,11180
24,8135
24,8998
24,5970
24,9992
24,6337
24,4651
24,7955
24,6323
